Status;Año - mes;Descripción SAP ;Nombre Lean;SAP;División;Marca;Tipo de Actividad;Clasificación;NPS;Nº APO;TON;Nº Rolling;TONxRolling;120;90;60;30;;;;;;;;;;;
1;2025-03;NDG KIT KAT 3Pack 78x510g MX;NDG Kitkat 3pack;12615010;Dolce Gusto- Sbux;Dolce Gusto;In&Out;Sabores;2.894;;4;;4;1;1;1;1;;;;;;;;;;;
1;2025-03;NESTLE Chocotrio 3(12x90g) MX;Chocotrio AS Chocolate;12615492;Impulso;Nestlé;In&Out;Sabores;;3086,419755;;10;-10;1;1;1;1;;;;;;;;;;;
1;2025-03;NESTLE Chocotrio 11(6x90g) MX;Chocotrio Conveniencia Chocolate;12615833;Impulso;Nestlé;In&Out;Sabores;;1010,101011;;;;1;1;1;1;;;;;;;;;;;
1;2025-03;NESQUIK DUO 18x300g MX;NESQUIK DUO 18x300g MX;12616631;Cereales;Nesquik;In&Out;Empaque;;7407,407406;;;;1;1;1;1;;;;;;;;;;;
1;2025-03;NIDO KINDER  1+ Nectar  6x2.97kg MX;NIDO KINDER  1+ 2.97kg;12616768;Leches De Crecimiento;Nido Kinder;In&Out;Jirafas;95;13636,36364;712,5;;712,5;1;1;1;1;;;;;;;;;;;
1;2025-03;NAN 3 Optimal Pro (1.8 kg + 800 g) MX;NAN 3 Optimal Pro 1.8 kg+800g;12617093;Fórmulas Infantiles;Nan 3;In&Out;Ofertas Armadas;400.000;0;21;;21;1;1;1;1;;;;;;;;;;;
1;2025-03;La Lechera LCA 260(10x375g) PRPre MX;Lechera 10 pack;12617302;Lácteos Culinarios;La Lechera;In&Out;Ofertas Armadas;;749,743591;731;;731;1;1;1;1;;;;;;;;;;;
1;2025-03;NESTLE Chocotrio Cookies 3(12x90g) MX+;Chocotrio AS Cookies;12617323;Impulso;Nestlé;In&Out;Sabores;;3086,419755;;10;-10;1;1;1;1;;;;;;;;;;;
1;2025-03;NESTLE Chocotrio Cookies 11(6x90g) MX;Chocotrio Conveniencia Cookies;12617331;Impulso;Nestlé;In&Out;Sabores;;1010,101011;;;;1;1;1;1;;;;;;;;;;;
1;2025-03;Nesquik Chocolate Syrup 623.6g MX;Nesquik chocolate Syrup 623.6g;12617332;Modificadores;Nesquik;In&Out;Jirafas;;;;;;1;1;1;1;;;;;;;;;;;
